T_exp,P,AM,S,R,EA,T_atm
22.0,5000000000.0,57.335882,1.14811136873213,1.2586057692307702,72.6,32
40.0,1500000000.0,17.822681856,0.590354212661459,0.761632775119617,68.48,12
8.8,10000000000.0,85.5216666666667,1.02582475812758,1.33479166666667,106.133333333333,8
9.3,3000000000.0,64.6575028666667,0.597836518646755,1.43655,76.2,2
150.0,200000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
250.0,170000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
8.0,2000000000.0,99.43275,0.579372676932627,1.7775999999999998,92.3,0
4.15,20000000000.0,6.941,0.0,1.67,61.1,0
5.47,20300000000.0,6.941,0.0,1.67,61.1,0
0.1,11000000000.0,117.108375,0.861554080392016,1.43564444444444,85.85,1
27.0,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
280.0,200000000000.0,9.012182,0.0,1.12,1.5,0
0.1,2000000000.0,110.368358333333,0.628949755527614,1.845,46.7666666666667,1
8.0,20000000000.0,67.4025,0.678373316815239,1.295,106.85,40
8.0,20000000000.0,67.4025,0.678373316815239,1.295,106.85,40
1.2,9650000000.0,67.4025,0.678373316815239,1.295,106.85,40
26.5,6320000000.0,67.4025,0.678373316815239,1.295,106.85,40
37.0,5220000000.0,67.4025,0.678373316815239,1.295,106.85,40
9.0,4150000000.0,67.4025,0.678373316815239,1.295,106.85,40
27.0,6230000000.0,67.4025,0.678373316815239,1.295,106.85,40
4.0,30000000000.0,121.76,0.0,1.33,104.7,0
27.0,6160000000.0,67.4025,0.678373316815239,1.295,106.85,40
37.0,4150000000.0,67.4025,0.678373316815239,1.295,106.85,40
26.0,6000000000.0,67.4025,0.678373316815239,1.295,106.85,40
32.0,5000000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
38.0,1200000000.0,17.822681856,0.590354212661459,0.761632775119617,68.48,12
2.1,1700000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
8.9,4000000000.0,121.57925,0.63005346727554,1.7420192307692302,102.3,1
203.0,155000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
80.0,160000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
191.0,200000000000.0,32.065,0.0,0.87,201.5,14
274.0,210000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
12.0,500000000.0,56.9482,0.98360648414063,1.4680000000000002,33.5233333333333,11
1.8,2000000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
17.0,160000000000.0,32.065,0.0,0.87,201.5,14
2.3,4000000000.0,110.368358333333,0.628949755527614,1.845,46.7666666666667,1
